POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSA_CarId,IMSA_TeamId,IMSA_ClassId,IMSA_CarTypeId,IMSA_ManufacturerId,IMSA_TireId,IMSA_SponsorId,IMSA_EventEntryId,*Extra 9,*Extra 10,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_IMSA_DriverId,DRIVER_IMSA_DriverPlugId,DRIVER_IMSA_DriverRatingLong,DRIVER_*Extra 4,DRIVER_*Extra 5,
13,19,4,2:24.352,+4.116,+0.405,136.5,6,Skip Barber Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Mike,Stillwagon,,Northport NY,USA,,,,,,,
14,33,2,2:24.474,+4.238,+0.122,136.3,6,Spark Performance,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Alex,Bachoura,,"Houston, TX",USA,,,,,,,
15,84,5,2:24.766,+4.530,+0.292,136.1,6,Torre Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Paolo,Salvatore,,"San Antonio, TX",USA,,,,,,,
16,52,4,2:24.777,+4.541,+0.011,136.1,6,KOHR MOTORSPORTS,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Christian,Bach,,"Orlando, FL",USA,,,,,,,
17,3,5,2:24.881,+4.645,+0.104,136.0,6,Spark Performance,DH,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Frankie,Muniz,,"Wood-Ridge, NJ",USA,,,,,,,
18,8,2,2:24.943,+4.707,+0.062,135.9,6,MDK Motorsports LLC,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Tom,Tait,Bronze,"Paradise Valley, AZ",USA,,,,,,,
19,82,2,2:26.528,+6.292,+1.585,134.4,6,McCumbee McAleer Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Drew,Neubauer,Bronze,"Austin, TX",USA,,,,,,,
20,10,6,2:26.800,+6.564,+0.272,134.2,6,NV Autosport,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Stephen,Vajda,Bronze,"Easton, PA",USA,,,,,,,
21,5,4,2:27.203,+6.967,+0.403,133.8,6,KOHR MOTORPORTS,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Rod,Randall MD,Bronze,"Tampa, FL",USA,,,,,,,
22,58,6,2:27.541,+7.305,+0.338,133.5,6,Nick Smither Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Nicholas,Smither,,"Novi, MI",USA,,,,,,,
23,14,4,2:27.774,+7.538,+0.233,133.3,6,Capaldi Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,John,Strauss,,"Juno Beach, FL",USA,,,,,,,
24,30,6,2:30.291,+10.055,+2.517,131.1,6,LAP Motorsports,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Scott,Thomson,,"Sun Valley, ID",USA,,,,,,,
25,66,6,2:30.482,+10.246,+0.191,130.9,6,Leaders Credit Union Competition Motorsports,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Kel,Kearns,Bronze,"Memphis, TN",AUS,,,,,,,
26,73,3,2:34.631,+14.395,+4.149,127.4,6,Jack Lewis Enterprises,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Jack,Lewis,,Atlanta Georgia,USA,,,,,,,
27,29,3,2:36.559,+16.323,+1.928,125.8,6,Robert Noaker Racing,DHL,,,Ford Mustang Dark Horse R,M,,,,,,,,,,,Mitch,Marvosh,,"Santa Barbara, CA",USA,,,,,,,
